#atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|aexp_min|aexp_max|aexp_mutability|bexp_min|bexp_max|bexp_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||||||||
hs_s|X|-2|-0.6|Bounded|||hs_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
hcl|H|0|0|ACM|h_b|hcl_s|hcl_z|hcl_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
hcl_s|X|-2|-0.6|Bounded|||hcl_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
hbr|H|0|0|ACM|h_b|hbr_s|hbr_z|hbr_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
hbr_s|X|-2|-0.6|Bounded|||hbr_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
hi|H|0|0|ACM|h_b|hi_s|hi_z|hi_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
hi_s|X|-2|-0.6|Bounded|||hi_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
hw|H|0|0|ACM|hw_b|hw_s|hw_z|hw_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
hw_s|X|-2|-0.6|Bounded|||hw_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
b|B|0|0|ACM|b_b|b_s|b_z|b_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.098|2||||20|60|Bounded|4|24|Bounded|2|9|Bounded|2000|50000|Bounded|10|70|Bounded|boron|
b_s|X|-2|-0.6|Bounded|||b_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|boron shell|
c1|C|0|0|ACM|c1_b|c1_s|c1_z|c1_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.069|2||||20|60|Bounded|4|24|Bounded|2|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp carbon|
c1_s|X|-4|-1|Bounded|||c1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp carbon shell|
c2|C|0|0|ACM|c2_b|c2_s|c2_z|c2_z|0.3|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.073|2||||20|60|Bounded|4|24|Bounded|2|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp2 carbon|
c2_s|X|-4|-1|Bounded|||c2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp2 carbon shell|
c3|C|0|0|ACM|c3_b|c3_s|c3_z|c3_z|0.3|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.076|2||||20|60|Bounded|4|24|Bounded|2|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 carbon|
c3_s|X|-4|-1|Bounded|||c3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 carbon shell|
n1|N|0|0|ACM|n1_b|n1_s|n1_z|n1_z|0.3|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.071|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|sp1 nitrogen|
n1_s|X|-4|-1|Bounded|||n1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp1 nitrogen shell|
n2|N|0|0|ACM|n2_b|n2_s|n2_z|n2_z|0.3|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.071|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|sp2 nitrogen|
