atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||
p2|P|0|0|ACM|p2_b|p2_s|p2_z|p2_z|0.5|1.2|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.107|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp2 phosphor|
p2_s|X|-2|-0.4|Bounded|||p2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp2 phosphor shell|
p3|P|0|0|ACM|p3_b|p3_s|p3_z|p3_z|0.5|1.2|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.107|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp3 phosphor|
p3_s|X|-2|-0.4|Bounded|||p3_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp3 phosphor shell|
s1|S|0|0|ACM|s1_b|s1_s|s1_z|s1_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.105|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp sulfur|
s1_s|X|-2|-0.4|Bounded|||s1_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp sulfur shell|
s2|S|0|0|ACM|s2_b|s2_s|s2_z|s2_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.105|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp2 sulfur|
s2_s|X|-2|-0.4|Bounded|||s2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp2 sulfur shell|
s3|S|0|0|ACM|s3_b|s3_s|s3_z|s3_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.105|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp3 sulfur|
s3_s|X|-2|-0.4|Bounded|||s3_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp3 sulfur shell|
cl|Cl|0|0|ACM|cl_b|cl_s|cl_z|cl_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.102|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|chlorine|
cl_s|X|-2|-0.4|Bounded|||cl_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3.5|Bounded|2|12|Bounded|||||||chlorine shell|
br|Br|0|0|ACM|br_b|br_s|br_z|br_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.12|4||||6|20|Bounded|6|20|Bounded|4|9|Bounded|bromine|
br_s|X|-2|-0.4|Bounded|||br_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|2|5|Bounded|2|12|Bounded|||||||bromine shell|
i|I|0|0|ACM|i_b|i_s|i_z|i_z|1.2|3|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.139|5||||6|20|Bounded|6|20|Bounded|4|9|Bounded|iodine|
i_s|X|-2|-0.4|Bounded|||i_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|5|10|Bounded|2|12|Bounded|||||||iodine shell|
# Virtual site particle| can be turned on or off independently|||||||||||||||||||||||||||||||||||
v2|VS|0|0|Fixed||v2_s|v2_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||6|20|Bounded|6|20|Bounded|4|9|Bounded|bond virtual site|
v2_s|X|-0.6|-0.2|Bounded|||v2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.5|Bounded|2|12|Bounded|||||||bond virtual site shell|
# Ions| that can not use any ACM algorithm for charges|||||||||||||||||||||||||||||||||||
Be2+|Be|3|3|Fixed||Be2+_s|Be2+_z||0.2|0.2|Bounded|10|20|Bounded|0.2|0.2|Bounded|1|6|Bounded|0.059|2||||6|20|Bounded|||||||beryllium ion|
Be2+_s|X|-1|-1|Fixed|||Be2+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.3|0.3|Bounded|6|6|Bounded|||||||beryllium ion shell|
Ca2+|Ca|3|3|Fixed||Ca2+_s|Ca2+_z||0.2|0.2|Bounded|10|20|Bounded|0.2|0.2|Bounded|1|6|Bounded|0.114|4||||6|20|Bounded|||||||calcium ion|
Ca2+_s|X|-1|-1|Fixed|||Ca2+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.1|Bounded|6|6|Bounded|||||||calcium ion shell|
Mg2+|Mg|3|3|Fixed||Mg2+_s|Mg2+_z||0.2|0.2|Bounded|10|20|Bounded|0.2|0.2|Bounded|1|6|Bounded|0.141|3||||6|20|Bounded|||||||magnesium ion|?
Mg2+_s|X|-1|-1|Fixed|||Mg2+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.1|Bounded|6|6|Bounded|||||||magnesium ion shell|
Na+|Na|4.007|4.007|Fixed||Na+_s|Na+_z||0.100134|0.100134|Fixed|18.3477|18.3477|Fixed|0.342639|0.342639|Fixed|1|6|Bounded|0.166|3||||12.609|12.609|Fixed|||||||sodium ion|Walz2018a
Na+_s|X|-3.007|-3.007|Fixed|||Na+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.18|0.18|Fixed|12.609|12.609|Fixed|||||||sodium ion shell|
Cl-|Cl|5.713|5.713|Fixed||Cl-_s|Cl-_z||0.288439|0.288439|Fixed|15.0729|15.0729|Fixed|0.451923|0.451923|Fixed|1|6|Bounded|0.167|3||||6.967|6.967|Fixed|||||||chloride ion|Walz2018a
Cl-_s|X|-6.713|-6.713|Fixed|||Cl-_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|3.5|3.5|Fixed|6.967|6.967|Fixed|||||||chloride ion shell|
I-|I|7.613|7.613|Fixed||I-_s|I-_z||0.890773|0.890773|Fixed|15.1043|15.1043|Fixed|0.496162|0.496162|Fixed|1|6|Bounded|0.206|5||||5.745|5.745|Fixed|||||||iodide ion|Walz2018a
I-_s|X|-8.613|-8.613|Fixed|||I-_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|7.5|7.5|Fixed|5.745|5.745|Fixed|||||||iodide ion shell|
F-|F|5.59|5.59|Fixed||F-_s|F-_z||0.0331175|0.0331175|Fixed|14.9423|14.9423|Fixed|0.390345|0.390345|Fixed|1|6|Bounded|0.119|2||||9.139|9.139|Fixed|||||||fluoride ion|Walz2018a
F-_s|X|-6.59|-6.59|Fixed|||F-_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1.3|1.3|Fixed|9.139|9.139|Fixed|||||||fluoride ion shell|
Rb+|Rb|6.402|6.402|Fixed||Rb+_s|Rb+_z||0.388274|0.388274|Fixed|16.8329|16.8329|Fixed|0.447763|0.447763|Fixed|1|6|Bounded|0.166|5||||12.36|12.36|Fixed|||||||rubidium ion|Walz2018a
Rb+_s|X|-5.402|-5.402|Fixed|||Rb+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1.32|1.32|Fixed|12.36|12.36|Fixed|||||||rubidium ion shell|
Li+|Li|3.391|3.391|Fixed||Li+_s|Li+_z||0.0378535|0.0378535|Fixed|16.6965|16.6965|Fixed|0.304261|0.304261|Fixed|1|6|Bounded|0.09|2||||13.772|13.772|Fixed|||||||lithium ion|Walz2018a
Li+_s|X|-2.391|-2.391|Fixed|||Li+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.029|0.029|Fixed|13.772|13.772|Fixed|||||||lithium ion shell|
Br-|Br|5.778|5.778|Fixed||Br-_s|Br-_z||0.452035|0.452035|Fixed|15.1012|15.1012|Fixed|0.472946|0.472946|Fixed|1|6|Bounded|0.182|4||||6.465|6.465|Fixed|||||||bromide ion|Walz2018a
Br-_s|X|-6.778|-6.778|Fixed|||Br-_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|4.6|4.6|Fixed|6.465|6.465|Fixed|||||||bromide ion shell|
Cs+|Cs|8.542|8.542|Fixed||Cs+_s|Cs+_z||0.342742|0.342742|Fixed|18.6293|18.6293|Fixed|0.475155|0.475155|Fixed|1|6|Bounded|0.181|6||||11.88|11.88|Fixed|||||||cesium ion|Walz2018a
Cs+_s|X|-7.542|-7.542|Fixed|||Cs+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|2.02|2.02|Fixed|11.88|11.88|Fixed|||||||cesium ion shell|
K+|K|5.464|5.464|Fixed||K+_s|K+_z||0.310514|0.310514|Fixed|16.8963|16.8963|Fixed|0.417016|0.417016|Fixed|1|6|Bounded|0.152|4||||12.412|12.412|Fixed|||||||potassium ion|Walz2018a
K+_s|X|-4.464|-4.464|Fixed|||K+_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.81|0.81|Fixed|12.412|12.412|Fixed|||||||potassium ion shell|
