atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|comment|reference|||
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV|||||||
n1_s|X|-2|-0.8|Bounded|||n1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|2|10|Bounded|||||||sp1|nitrogen|shell||
n2|N|0|0|ACM|n2_b|n2_s|n2_z|n2_z|0.3|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.071|2||||2|10|Bounded|4|24|Bounded|3|9|Bounded|sp2|nitrogen|||
n2_s|X|-2|-0.8|Bounded|||n2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|2|10|Bounded|||||||sp2|nitrogen|shell||
n3|N|0|0|ACM|n3_b|n3_s|n3_z|n3_z|0.3|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.071|2||||2|10|Bounded|4|24|Bounded|3|9|Bounded|sp3|nitrogen|||
n3_s|X|-2|-0.8|Bounded|||n3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|2|10|Bounded|||||||sp3|nitrogen|shell||
n4|N|0|0|ACM|n4_b|n4_s|n4_z|n4_z|0.3|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.071|2||||2|10|Bounded|4|24|Bounded|3|9|Bounded|positively|charged|sp3|nitrogen|
n4_s|X|-2|-0.8|Bounded|||n4_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|2|10|Bounded|||||||positively|charged|sp3|nitrogen|shell
o1|O|0|0|ACM|o1_b|o1_s|o1_z|o1_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.066|2||||2|10|Bounded|4|24|Bounded|3|9|Bounded|sp|oxygen|||
o1_s|X|-2|-0.8|Bounded|||o1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|2|10|Bounded|||||||sp|oxygen|shell||
o2|O|0|0|ACM|o2_b|o2_s|o2_z|o2_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.066|2||||2|10|Bounded|4|24|Bounded|3|9|Bounded|sp2|oxygen|||
o2_s|X|-2|-0.8|Bounded|||o2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|2|10|Bounded|||||||sp2|oxygen|shell||
o3|O|0|0|ACM|o3_b|o3_s|o3_z|o3_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.066|2||||2|10|Bounded|4|24|Bounded|3|9|Bounded|sp3|oxygen|||
o3_s|X|-2|-0.8|Bounded|||o3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|2|10|Bounded|||||||sp3|oxygen|shell||
f|F|0|0|ACM|f_b|f_s|f_z|f_z|0.2|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.057|2||||2|10|Bounded|4|24|Bounded|3|9|Bounded|fluorine||||
f_s|X|-2|-0.8|Bounded|||f_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.2|2.5|Bounded|2|10|Bounded|||||||fluorine|shell|||
p1|P|0|0|ACM|p1_b|p1_s|p1_z|p1_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.107|3||||2|10|Bounded|4|24|Bounded|3|9|Bounded|sp|phosphor|||
p1_s|X|-2|-0.8|Bounded|||p1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|10|Bounded|||||||sp|phosphor|shell||
p2|P|0|0|ACM|p2_b|p2_s|p2_z|p2_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.107|3||||2|10|Bounded|4|24|Bounded|4|9|Bounded|sp2|phosphor|||
p2_s|X|-2|-0.8|Bounded|||p2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|10|Bounded|||||||sp2|phosphor|shell||
p3|P|0|0|ACM|p3_b|p3_s|p3_z|p3_z|0.5|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.107|3||||2|10|Bounded|4|24|Bounded|4|9|Bounded|sp3|phosphor|||
p3_s|X|-2|-0.8|Bounded|||p3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|10|Bounded|||||||sp3|phosphor|shell||
s1|S|0|0|ACM|s1_b|s1_s|s1_z|s1_z|0.6|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.105|3||||2|10|Bounded|4|24|Bounded|4|9|Bounded|sp|sulfur|||
s1_s|X|-2|-0.8|Bounded|||s1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|10|Bounded|||||||sp|sulfur|shell||
s2|S|0|0|ACM|s2_b|s2_s|s2_z|s2_z|0.6|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.105|3||||2|10|Bounded|4|24|Bounded|4|9|Bounded|sp2|sulfur|||
s2_s|X|-2|-0.8|Bounded|||s2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|10|Bounded|||||||sp2|sulfur|shell||
s3|S|0|0|ACM|s3_b|s3_s|s3_z|s3_z|0.6|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.105|3||||2|10|Bounded|4|24|Bounded|4|9|Bounded|sp3|sulfur|||
s3_s|X|-2|-0.8|Bounded|||s3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|10|Bounded|||||||sp3|sulfur|shell||
cl|Cl|0|0|ACM|cl_b|cl_s|cl_z|cl_z|0.6|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.102|3||||2|10|Bounded|4|24|Bounded|4|9|Bounded|chlorine||||
cl_s|X|-2|-0.8|Bounded|||cl_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|4.5|Bounded|2|10|Bounded|||||||chlorine|shell|||
br|Br|0|0|ACM|br_b|br_s|br_z|br_z|0.6|2|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.12|4||||2|10|Bounded|4|24|Bounded|4|9|Bounded|bromine||||
br_s|X|-2|-0.8|Bounded|||br_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|2|7|Bounded|2|10|Bounded|||||||bromine|shell|||
i|I|0|0|ACM|i_b|i_s|i_z|i_z|1.2|3|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|6|Bounded|0.139|5||||2|10|Bounded|4|24|Bounded|4|9|Bounded|iodine||||
i_s|X|-2|-0.8|Bounded|||i_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|5|10|Bounded|2|10|Bounded|||||||iodine|shell|||
#|Virtual|site|particle||can|be|turned|on|or|off|independently||||||||||||||||||||||||||||
v2|VS|0|0|Fixed|v2|v2_s|v2_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||2|10|Bounded|4|24|Bounded|4|9|Bounded|bond|virtual|site||
v2_s|X|-0.6|-0.2|Bounded|||v2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.5|Bounded|2|10|Bounded|||||||bond|virtual|site|shell|
v3|VS|0|0|Fixed||v3_s|v3_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||2|10|Bounded|4|24|Bounded|4|9|Bounded|bond|virtual|site||
v3_s|X|-0.6|-0.2|Bounded|||v3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.5|Bounded|2|10|Bounded|||||||bond|virtual|site|shell|
v3out|VS|0|0|Fixed||v3out_s|v3OUT_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||2|10|Bounded|4|24|Bounded|4|9|Bounded|bond|virtual|site||
v3out_s|X|-0.6|-0.2|Bounded|||v3OUT_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.5|Bounded|2|10|Bounded|||||||bond|virtual|site|shell|
#|Ions||that|can|not|use|any|ACM|algorithm|for|charges||||||||||||||||||||||||||||
