0.0 0.0 0.117
0.0 0.7634 -0.4681
0.0 -0.7634 -0.4681
0.0 0.0 2.197
-1.1 -1.308 1.096
-1.368 -1.308 0.663
-0.999 -1.581 0.735
-1.426 -1.036 0.998
-1.588 -1.154 0.285
-1.897 -0.496 -0.068
-1.876 -0.254 -0.429
-1.659 -0.411 -0.862
-1.963 -0.0 -0.051
-1.738 -0.692 -0.501
-1.714 -0.944 -0.111
-1.584 -0.642 1.096
-1.667 -0.897 0.663
-1.827 -0.714 0.302
-1.942 -0.244 0.345
-1.813 -0.462 0.735
-1.862 -0.0 0.759
-1.666 -0.218 1.146
-1.234 -0.897 1.363
-1.363 -0.462 1.462
-1.407 -0.0 1.496
-1.072 -0.244 1.752
-1.526 0.0 -1.129
-1.215 0.0 -1.434
-1.897 0.496 -0.068
-1.876 0.254 -0.429
-1.659 0.411 -0.862
-1.738 0.692 -0.501
-1.714 0.944 -0.111
-1.762 0.0 -0.764
-1.584 0.642 1.096
-1.667 0.897 0.663
-1.827 0.714 0.302
-1.942 0.244 0.345
-1.813 0.462 0.735
-1.666 0.218 1.146
-1.363 0.462 1.462
-1.072 0.244 1.752
-1.234 0.897 1.363
-0.999 1.581 0.735
-1.588 1.154 0.285
-1.426 1.036 0.998
-1.368 1.308 0.663
-1.1 1.308 1.096
-0.435 -1.338 1.496
-0.86 -1.154 1.462
-0.1 -1.095 1.752
-0.722 -1.517 1.146
-0.308 -1.651 1.146
-0.983 -0.714 1.668
-0.563 -0.944 1.752
-0.563 0.944 1.752
-0.983 0.714 1.668
-0.86 1.154 1.462
-0.435 1.338 1.496
-0.1 1.095 1.752
-0.308 1.651 1.146
-0.722 1.517 1.146
0.544 -1.676 0.998
0.904 -1.451 1.096
0.121 -1.705 1.096
0.471 -1.451 1.363
0.018 -1.439 1.462
0.831 -1.175 1.462
0.375 -1.155 1.668
0.724 -0.827 1.752
0.724 0.827 1.752
0.121 1.705 1.096
0.544 1.676 0.998
0.904 1.451 1.096
0.018 1.439 1.462
0.831 1.175 1.462
0.471 1.451 1.363
0.375 1.155 1.668
1.428 -1.338 0.345
1.507 -1.095 0.759
1.195 -1.439 0.735
1.219 -1.155 1.146
1.666 -0.218 -0.912
1.813 -0.462 -0.501
1.942 -0.244 -0.111
1.827 -0.714 -0.068
1.659 -0.411 1.096
1.876 -0.254 0.663
1.714 -0.944 0.345
1.738 -0.692 0.735
1.897 -0.496 0.302
1.01 -0.433 1.752
1.475 -0.803 1.146
1.138 -0.827 1.496
1.374 -0.428 1.462
1.407 0.0 -1.262
1.666 0.218 -0.912
1.862 0.0 -0.525
1.813 0.462 -0.501
1.827 0.714 -0.068
1.942 0.244 -0.111
1.876 0.254 0.663
1.659 0.411 1.096
1.738 0.692 0.735
1.762 0.0 0.998
1.963 0.0 0.285
1.897 0.496 0.302
1.714 0.944 0.345
1.215 0.0 1.668
1.475 0.803 1.146
1.374 0.428 1.462
1.526 0.0 1.363
1.01 0.433 1.752
1.138 0.827 1.496
1.428 1.338 0.345
1.507 1.095 0.759
1.195 1.439 0.735
1.219 1.155 1.146
-0.867 0.392 -1.87
-0.977 0.053 -1.651
-1.179 0.396 -1.622
-1.609 0.545 -0.937
-1.423 0.41 -1.308
-1.684 0.763 -0.612
-1.266 1.452 -1.351
-1.309 0.763 -1.537
-1.042 0.763 -1.799
-0.867 1.134 -1.87
-1.179 1.13 -1.622
-0.977 1.473 -1.651
-1.628 1.189 -0.627
-1.609 0.981 -0.937
-1.423 1.116 -1.308
-1.491 1.357 -0.998
-1.47 1.573 -0.663
-1.512 0.763 -1.224
-1.43 1.532 0.001
-1.567 1.375 -0.309
-1.046 1.754 -1.351
-0.908 2.18 -0.627
-1.293 1.702 -1.019
-1.025 1.998 -0.998
-1.225 1.911 -0.663
-1.067 2.064 -0.309
-0.857 2.12 0.062
-1.362 1.753 -0.324
-1.223 1.651 0.288
-1.173 1.885 0.001
-0.944 1.885 0.372
-0.224 0.074 -1.995
-0.115 0.41 -2.117
-0.505 0.396 -2.038
-0.621 0.053 -1.87
-0.224 1.452 -1.995
-0.115 1.116 -2.117
-0.724 0.763 -1.995
-0.371 0.763 -2.117
-0.505 1.13 -2.038
-0.621 1.473 -1.87
-0.404 2.008 -1.537
-0.322 1.754 -1.799
-0.015 1.998 -1.622
-0.713 1.771 -1.622
-0.104 2.226 -1.308
-0.52 2.364 -0.612
-0.29 2.361 -0.937
-0.705 2.226 -0.937
-0.098 2.443 -0.627
-0.467 2.201 -1.224
-0.776 2.008 -1.308
-0.713 2.283 -0.273
-0.316 2.412 -0.273
-0.494 2.283 0.083
-0.104 2.364 0.062
-0.738 1.753 0.686
-0.373 1.911 0.715
-0.264 2.18 0.415
